# OOD-PerceptionBench -- canonical route manifest
# bundle_version: v0.9
# binds_to: arXiv v1
# routes: 475
# generated_by: make_manifest.py (routes freeze)
# paths are relative to this file's directory; separator is a single TAB
path	sha256	category	scenario	level	base_route_id	prop_blueprint_id
pedestrian/dynamic_object_crossing/base/route_24211_0001.xml	60964a0845bf9e009cf75ac9887fa0554b412a2ba31b26b266381b1e7c192080	pedestrian	dynamic_object_crossing	base	24211	walker.pedestrian.0001
pedestrian/dynamic_object_crossing/base/route_24211_0014.xml	b753f6a816fa802bcfb9f830a8d4b4e85a3aa27b39795a9a89ca73c5326132d5	pedestrian	dynamic_object_crossing	base	24211	walker.pedestrian.0014
pedestrian/dynamic_object_crossing/base/route_24211_0028.xml	f2f402049ef96675e6ca84f70591f2cf22a66f21baaacb2a33c051f933a61cf9	pedestrian	dynamic_object_crossing	base	24211	walker.pedestrian.0028
pedestrian/dynamic_object_crossing/base/route_24224_0001.xml	89139f08bcc450439c6b679203b1f8d301a11ccba85a143b02e84b7ad26af4f1	pedestrian	dynamic_object_crossing	base	24224	walker.pedestrian.0001
pedestrian/dynamic_object_crossing/base/route_24224_0014.xml	943a4751cf7cdf2de30e565667858f2ddddd912a27f169760f2f4c12fe316939	pedestrian	dynamic_object_crossing	base	24224	walker.pedestrian.0014
pedestrian/dynamic_object_crossing/base/route_24224_0028.xml	777df93f673e4c4a20ed8db23762cbf6fbc774d289d3ea0b629cfec8d4c22529	pedestrian	dynamic_object_crossing	base	24224	walker.pedestrian.0028
pedestrian/dynamic_object_crossing/base/route_24252_0001.xml	6fbb30acf8520d77d5e1f41667bb91224e58f2ba647cee3ad32ad1a80cef7219	pedestrian	dynamic_object_crossing	base	24252	walker.pedestrian.0001
pedestrian/dynamic_object_crossing/base/route_24252_0014.xml	ca95902049a09b1307e7a0f47f8e693d471cd569b9b9b87023a59eed0eaa2f5a	pedestrian	dynamic_object_crossing	base	24252	walker.pedestrian.0014
pedestrian/dynamic_object_crossing/base/route_24252_0028.xml	2e84d73eed48da11b97ece444767d5e2ac0576506f52402399bdbbb21a5e9d4c	pedestrian	dynamic_object_crossing	base	24252	walker.pedestrian.0028
pedestrian/dynamic_object_crossing/base/route_24333_0001.xml	a44116372402b2087371a1e179132837dceb09779ba18e25e3d48276838d536f	pedestrian	dynamic_object_crossing	base	24333	walker.pedestrian.0001
pedestrian/dynamic_object_crossing/base/route_24333_0014.xml	ea8212ea9683ac0858596931fa02ad7c5b56b0fa40421ff0c3d84a9720bfae83	pedestrian	dynamic_object_crossing	base	24333	walker.pedestrian.0014
pedestrian/dynamic_object_crossing/base/route_24333_0028.xml	771a109aca0bc79b3420ca19a84d9a4d49c12456348dc62302ebc09a045cfaf4	pedestrian	dynamic_object_crossing	base	24333	walker.pedestrian.0028
pedestrian/dynamic_object_crossing/geometric_shift/route_24211_boar.xml	66befee48605192b226828e4474a8a1298b81b99142b84ffbe4b59644340f4d4	pedestrian	dynamic_object_crossing	geometric_shift	24211	walker.pedestrian.boar
pedestrian/dynamic_object_crossing/geometric_shift/route_24211_deliveryrobot.xml	cc1d887573437de3f1b7aa534c06c3d51b9f0e34954077b2d3b3d90de33b9f1b	pedestrian	dynamic_object_crossing	geometric_shift	24211	walker.pedestrian.deliveryrobot
pedestrian/dynamic_object_crossing/geometric_shift/route_24211_wheelchair.xml	58c7674a386a32b5b92f05373b9ed7a751bc8da8e4980bb406dda0277aef2a98	pedestrian	dynamic_object_crossing	geometric_shift	24211	walker.pedestrian.wheelchair
pedestrian/dynamic_object_crossing/geometric_shift/route_24224_boar.xml	7a9071fb86a6a62913dea1318af3d0aad0ec03db04234971e7a7304a73cfc7b1	pedestrian	dynamic_object_crossing	geometric_shift	24224	walker.pedestrian.boar
pedestrian/dynamic_object_crossing/geometric_shift/route_24224_deliveryrobot.xml	d2a5a00e667da18589d0012658a731f32a7a504cff86f1f5becbde6f15c190e1	pedestrian	dynamic_object_crossing	geometric_shift	24224	walker.pedestrian.deliveryrobot
pedestrian/dynamic_object_crossing/geometric_shift/route_24224_wheelchair.xml	d85da8f942c7174f8de5f3bf3fead993f6bc7c9d82d055810fd457f814684ebd	pedestrian	dynamic_object_crossing	geometric_shift	24224	walker.pedestrian.wheelchair
pedestrian/dynamic_object_crossing/geometric_shift/route_24252_boar.xml	56243cc0dbea5fbb7a9f84fa868bfb996005876c016ac9ca28c7cc5385e63cb1	pedestrian	dynamic_object_crossing	geometric_shift	24252	walker.pedestrian.boar
pedestrian/dynamic_object_crossing/geometric_shift/route_24252_deliveryrobot.xml	c6ac2970c80d25fd4c0757155989ba2964326e130b2c164ba44c5acecaaa48e0	pedestrian	dynamic_object_crossing	geometric_shift	24252	walker.pedestrian.deliveryrobot
pedestrian/dynamic_object_crossing/geometric_shift/route_24252_wheelchair.xml	920927540756678601ab041642b75480ee6063b8174c641f21fa849e4603be51	pedestrian	dynamic_object_crossing	geometric_shift	24252	walker.pedestrian.wheelchair
pedestrian/dynamic_object_crossing/geometric_shift/route_24333_boar.xml	4ce65eb0a6679a81b576b37dc1a318a627d23ebefff922ee2ead3c66f32debaa	pedestrian	dynamic_object_crossing	geometric_shift	24333	walker.pedestrian.boar
