# OOD-PerceptionBench asset pack v0.9 — file manifest
# path_in_carla_root is relative to the CARLA build root, i.e. the path
# the file occupies after ImportAssets.sh has run.
tarball	path_in_carla_root	sha256	bytes	content_dir	blueprint_id	category	level	author	license	license_url
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Config/ConcreteRoadBarrier.Package.json	96c9bcab68a482ae294729b38644b95a3ba34c19df8901db70f0a26d102fd69c	238	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/SM_ConcreteRoadBarrier.uasset	aa238e2770c38b21dfa6b1709ef72379f9bcfcdba67dc72c85e7dbf11663b789	2944	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/SM_ConcreteRoadBarrier.uexp	75250fd5a228f55a6c2cb60a2e56f41a56098ad831d44c0ac0347b1e6ff13f95	145502	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/concreteRoadBarrier_low.uasset	f4d59668b3923c8c856dd2038a10683c73d2b6e86980d455027ad0f244f410e1	1428	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/concreteRoadBarrier_low.uexp	6e026b9ac5886832fd7d7fc3276b1f7c2fa9a2c56d4ffd60370a1694587f6ae7	78274	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/road_barrier_diffuse.uasset	1a30f8240f7565fce899457c89a07cdc0769be442749ea09039d5d2476d7494a	764	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/road_barrier_diffuse.ubulk	d1180ccb43e84dc30337b23c0d1bd82a8b0446865b088c7f96ac4cea62ac9aa3	5586944	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/ConcreteRoadBarrier/Static/Other/ConcreteRoadBarrier/road_barrier_diffuse.uexp	a2abfc52ff0c6813c665fc49f78cf5f9f0d08c2499ec9eb56ec8acead509d59a	6126	ConcreteRoadBarrier	static.prop.concreteroadbarrier	static	geometric_shift	widthRider	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Config/RoadClosedBarricade.Package.json	c9ee082bef7884518584e8981c66c8ac8af68005d652829485e289dc998f9fa6	238	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/SM_RoadClosedBarricade.uasset	d082ff5daad6d0d1a90527b2088ad4a4045e3baa282e1a2a1238ee74cb8e3f89	2991	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/SM_RoadClosedBarricade.uexp	f008716e18e8ae00d159c0bb07f32b017507f29479b73b015880049f185e8c61	284706	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/normal.uasset	69735ef3fd2177b012ddb577e4e5465d62672a7ce65cbd348e8e67d50bd12776	948	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/normal.ubulk	b76050204f5aad5b704673d275922cbe1ca5893618dedfa3bfac48d7f530488f	5586944	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/normal.uexp	20099e966ebc01bb43803973f49db87e2ddad830d59e585c21c067e2ea9ffb23	6233	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал.uasset	af4ebeb2ef9c4ef5ad0ea0fec9e2ac2b5f686508292a2cc0317b4ee0f8ad6b7f	1934	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал.uexp	1becd9d5b0277961e5dae47ed2952466c9c186554395940be471b6b1a62c6c52	101461	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал_Base_color.uasset	d4d5dc4839666d6a144a8ebc5ab18406795c494dfe5c13973c51365f58d53aca	914	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал_Base_color.ubulk	e807cef42514f6a0663c25f90b4a057c521d7087bb7e41c8ce788e4842270e93	5142817	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал_Base_color.uexp	189ac0f8b40cd1101f9d93efb94fdba501f78d297f5c634aacdeef622b1d26ba	5976	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал_Roughness.uasset	da1434b6775e3e3c22e69b104cdbe09200c7e95f343d8e9ad88ea51721e4207c	910	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал_Roughness.ubulk	31541cf5f32935c0189891993bbc266678ce4ed51b26d0ba0c71a619cd0e0009	3941049	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-props-v0.9.tar.gz	CarlaUE4/Content/RoadClosedBarricade/Static/Other/RoadClosedBarricade/Материал_Roughness.uexp	cc4fc64a68101fbef5aec243353ddbcf9030b115db0995273c78d4a9e9bb3b86	5976	RoadClosedBarricade	static.prop.roadclosedbarricade	static	geometric_shift	exiS7-Gs	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Animations/astronaut_jacket_Anim_Empty_walking_28_.uasset	46babc5826c2ec1acbc71fcfc3037fc5fc655d86699f783a0671b390891a6c63	1589	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Animations/astronaut_jacket_Anim_Empty_walking_28_.uexp	49efe48e20069c45c23c8c8c4728c4f446d7c204ee708ecbf1e30b7d670a64b8	9865	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Animations/astronaut_jacket_Anim_metarig_speed_walking_28_.uasset	7eb3160b034a875db813eb434fd1b26e4df7b863506418703988b819f8ab63ec	1605	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Animations/astronaut_jacket_Anim_metarig_speed_walking_28_.uexp	e2f43982d8444d82d72a9b2a32c8224b3e730116d84753fe1c7200916a8324f0	19493	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Animations/astronaut_jacket_Anim_metarig_walking_28_.uasset	984fcb93c7ddd76446b17a6954ac797b687dfe4d28ad311aa4acad8daeff2dcf	1593	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Animations/astronaut_jacket_Anim_metarig_walking_28_.uexp	4d4683711a9c5706d31b3c4a1b94aa3c84c0e321e11e661c48235b55667f8d88	20725	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Blueprints/ABP_Astronaut.uasset	c902b202a67524d2121f6e53f865552e055437c8709105210f35cab43949cc92	6613	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Blueprints/ABP_Astronaut.uexp	72e73e3d7e013ff741bcdfa4e18262f08a38b1fb5b4f672cbc66f81a9787b966	5147	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Blueprints/BP_Astronaut.uasset	8e903bafe940da1b4f197ce142aaa409e491d404e14867f524ccccb0fc41b87b	5320	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Blueprints/BP_Astronaut.uexp	2df443075cf42b4412ee56ffee583975cb35311ec7eacca1ae72d6921be83745	2466	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
ood-perceptionbench-walkers-ccby-v0.9.tar.gz	CarlaUE4/Content/Astronaut/Blueprints/BS_Astronaut.uasset	b6985ff513e297aa5c93d3f3f0160cbd0db556dc18463aa7bbe2bfc594046a07	1968	Astronaut	walker.pedestrian.astronaut	pedestrian	visual_shift	Antropik	CC BY 4.0	https://creativecommons.org/licenses/by/4.0/
